country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
"Macedonia, FYR",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madagascar,N/A,1.9,0.498,N/A,149,5.7,6.51,6.14,6.32,8.3,18.4,67.1,N/A,28.24,1558,74.8,54.2,27,33,0.528,N/A,N/A,26.5,N/A,N/A,-1.01,4.166,42.6,-4.23,N/A,N/A,116,23.21,22.65,5.5,7.6,3.4,38,4.48
Malawi,30,6,0.451,N/A,129,5.74,7.13,6.06,6.6,12.2,17.2,64.3,N/A,28.8,1205,62.1,89,29,37,0.483,N/A,N/A,38.3,N/A,N/A,-0.33,3.538,44.7,0.6,N/A,N/A,122,23.35,21.9,5.4,9.2,1.7,17,4.19
Malaysia,30,4.8,0.719,69.98,57,7.19,5.7,7.34,6.52,3.8,27.4,76.2,62,39.47,29511,93.7,15.8,21,30,0.81,57.29,42.71,47.9,62.63,41.16,0.59,5.384,41,-5.58,N/A,N/A,28,7.26,25.4,5.7,8.9,2.3,77,2.13
Maldives,N/A,6.4,0.56,N/A,75,N/A,N/A,N/A,N/A,2.3,N/A,N/A,N/A,29.13,16688,97.7,29.5,19,21,0.74,55.34,44.66,35.6,N/A,46.79,-0.41,5.198,N/A,N/A,N/A,N/A,N/A,5.23,27.65,2.7,3.9,0.8,40,2.93
Mali,N/A,7.5,0.293,N/A,129,3.93,6.15,5.91,6.03,1.8,16.3,59.3,N/A,33.5,2218,35.5,102,9,24,0.434,N/A,N/A,29.4,N/A,N/A,-0.83,4.729,33,-1.98,N/A,N/A,139,37.33,28.25,4.1,5.3,2.9,43,4.86
Malta,35,3.9,0.818,58.58,52,7.68,8.77,7.97,8.37,1.3,40.9,82.6,75,30.46,40797,94.5,3.7,35,55,0.895,40.39,59.61,70.7,80.29,60.96,0.95,6.773,29.4,N/A,N/A,N/A,26,0.71,19.2,6.1,9.8,2.3,94,0.38
Marshall Islands,N/A,N/A,0.723,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,4247,98.3,25.4,38,55,0.704,N/A,N/A,30.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.4,N/A,N/A,N/A,77,0.61
Mauritania,40,10.7,0.389,N/A,134,3.92,4.83,6.11,5.47,2.3,19.8,64.9,N/A,32.25,3958,53.5,63.4,14,21,0.546,N/A,N/A,27.7,N/A,N/A,-0.58,4.375,32.6,-2.16,N/A,N/A,140,18.7,27.65,3.1,4,2.2,55,4.28
Mauritius,15,9.8,0.729,N/A,52,8.14,6.98,8.07,7.52,3.7,34.6,74.4,N/A,28.74,22356,91.3,12.2,37,50,0.804,48.88,51.12,45.1,54.47,52.67,0.76,6.101,38.5,N/A,N/A,N/A,39,2.9,22.4,9.5,16.3,2.8,40,0.11
